Criterion,Mean_Score,Weight,Type
price_vnd,4.117647058823529,0.13847675568743817,Cost
fuel_consumption_l_per_100km,4.117647058823529,0.13847675568743817,Cost
max_power_kw,4.3088235294117645,0.14490603363006924,Benefit
underseat_storage_l,4.0588235294117645,0.13649851632047477,Benefit
abs,4.573529411764706,0.15380811078140455,Benefit
curb_weight_kg,4.102941176470588,0.13798219584569732,Cost
vehicle_warranty_months,4.455882352941177,0.14985163204747776,Benefit
